created_at,tweet_text,cleaned_text,sentiment_score
2023-04-18 18:41:50+00:00,$AAPL Apple craze draws long queues at opening of first India store https://t.co/MwmR5ua0pp,$aapl apple craze draws long queues at opening of first india store ,-0.1531
2023-04-18 18:41:49+00:00,$AAPL Apple opens its first retail store in India but customer challenges persist https://t.co/s5BSo5ymiR,$aapl apple opens its first retail store in india but customer challenges persist ,0.1154
2023-04-18 18:41:49+00:00,$AAPL Apple is unlikely to lower price of products in India says analyst https://t.co/IPNKIQkkVY,$aapl apple is unlikely to lower price of products in india says analyst ,-0.296
2023-04-18 18:36:50+00:00,"@brendanschema Yes. I use it for purchases at $AAPL and $NKE. It offers 3% cash back for Nike if you use Apple Pay. If it were a Visa card ($V shareholder), I'd use it all the time. It's so convenient having it right there on the iPhone and I'm moving my cash into the new savings account."," yes. i use it for purchases at $aapl and $nke. it offers 3% cash back for nike if you use apple pay. if it were a visa card ($v shareholder), i'd use it all the time. it's so convenient having it right there on the iphone and i'm moving my cash into the new savings account.",0.3182
2023-04-18 18:33:10+00:00,"Apple developing Sports, Gaming, Wellness Apps For New Headset - Bloomberg

$AAPL","apple developing sports, gaming, wellness apps for new headset - bloomberg

$aapl",0.4404
2023-04-18 18:33:03+00:00,$AAPL $GS - Goldman Sachs is watching for 'cannibalization' from Apple's new savings account https://t.co/RAb60MHcdt,$aapl $gs - goldman sachs is watching for 'cannibalization' from apple's new savings account ,0.0
2023-04-18 18:32:02+00:00,"Sources: Apple is developing a range of VR apps for its upcoming headset, across gaming, fitness, live sports, and collaboration tools, like Freeform (Mark Gurman/Bloomberg)
https://t.co/2fQCoForll
More news about $AAPL on #TickerTick https://t.co/m62JCDIsJ3","sources: apple is developing a range of vr apps for its upcoming headset, across gaming, fitness, live sports, and collaboration tools, like freeform (mark gurman/bloomberg)

more news about $aapl on tickertick ",0.6705
2023-04-18 18:27:10+00:00,Kindle Unlimited porn discovered by parents; Apple 'shared concerns' https://t.co/RKHyJjlxjs $AAPL https://t.co/l63P6IEv8O,kindle unlimited porn discovered by parents; apple 'shared concerns'  $aapl ,0.34
2023-04-18 18:15:19+00:00,"$AAPL Apple launched a savings account, they are offering credit (Buy now, pay later). They are truly expanding beyond being just a phone manufacturer. As an investor that looks very attractive.","$aapl apple launched a savings account, they are offering credit (buy now, pay later). they are truly expanding beyond being just a phone manufacturer. as an investor that looks very attractive.",0.8313
2023-04-18 18:14:09+00:00,"Apple - $AAPL (day/YTD)

$166.31 (0.65% / 32.97%)","apple - $aapl (day/ytd)

$166.31 (0.65% / 32.97%)",0.0
2023-04-18 18:06:33+00:00,"Options + Stock Alerts
Discord link below

https://t.co/rFUdY4PsgD

$APT $JAKK $DYNT $SPV $LMND $GNUS $GRAF $BIOL $NOVN $CHFS $AYRO  $CARV $SPY $SOLO $W $JAGX $INO  $BYFC $TSLA $SPCE $BOXL $AAPL $AYRO $BNGO $DKNG $APPL https://t.co/p3FVN7ZHUS","options + stock alerts
discord link below



$apt $jakk $dynt $spv $lmnd $gnus $graf $biol $novn $chfs $ayro  $carv $spy $solo $w $jagx $ino  $byfc $tsla $spce $boxl $aapl $ayro $bngo $dkng $appl ",-0.4019
2023-04-18 18:06:29+00:00,"ðŸ’µ Get up to 12 #FREE Fractional Shares by opening a #Webull brokerage account with ANY AMOUNT - even 1 penny! ðŸª™ 
ðŸ’°ðŸ’° Invite 1 friend, spin the Webull wheel, get $100s to $1000s in Apple stock!!! ðŸŽ $AAPL
#crypto #investing #OptionsTrading  https://t.co/gdwMl2cn1I","ðÿ’µ get up to 12 free fractional shares by opening a webull brokerage account with any amount - even 1 penny! ðÿª™ 
ðÿ’°ðÿ’° invite 1 friend, spin the webull wheel, get $100s to $1000s in apple stock!!! ðÿž $aapl
crypto investing optionstrading  ",0.8877
2023-04-18 18:02:16+00:00,$AAPL Apple Inc. has filed for FCC ID approval on A2872 Wireless Earbud  https://t.co/1VxSEzWRGd,$aapl apple inc. has filed for fcc id approval on a2872 wireless earbud  ,0.4767
